,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),County,State,URL,Unnamed: 0_level_0
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Hempstead County,Arkansas,https://livingwage.mit.edu/counties/05057,Minimum Wage
0,$13.05,$27.18,$32.89,$41.20,$22.58,$27.01,$30.70,$32.32,$11.29,$15.01,$18.37,$20.69,Hot Spring County,Arkansas,https://livingwage.mit.edu/counties/05059,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Hot Spring County,Arkansas,https://livingwage.mit.edu/counties/05059,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Hot Spring County,Arkansas,https://livingwage.mit.edu/counties/05059,Minimum Wage
0,$13.08,$26.53,$31.61,$39.08,$22.43,$26.99,$30.68,$32.11,$11.22,$14.69,$17.73,$19.63,Howard County,Arkansas,https://livingwage.mit.edu/counties/05061,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Howard County,Arkansas,https://livingwage.mit.edu/counties/05061,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Howard County,Arkansas,https://livingwage.mit.edu/counties/05061,Minimum Wage
0,$13.23,$27.38,$33.10,$41.14,$22.44,$27.20,$30.90,$32.25,$11.22,$15.11,$18.47,$20.66,Independence County,Arkansas,https://livingwage.mit.edu/counties/05063,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Independence County,Arkansas,https://livingwage.mit.edu/counties/05063,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Independence County,Arkansas,https://livingwage.mit.edu/counties/05063,Minimum Wage
0,$12.85,$27.40,$33.36,$41.77,$22.27,$26.99,$30.68,$32.17,$11.14,$15.12,$18.60,$20.98,Izard County,Arkansas,https://livingwage.mit.edu/counties/05065,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Izard County,Arkansas,https://livingwage.mit.edu/counties/05065,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Izard County,Arkansas,https://livingwage.mit.edu/counties/05065,Minimum Wage
0,$13.00,$27.48,$33.51,$41.82,$22.27,$26.99,$30.68,$31.98,$11.14,$15.16,$18.68,$21.00,Jackson County,Arkansas,https://livingwage.mit.edu/counties/05067,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jackson County,Arkansas,https://livingwage.mit.edu/counties/05067,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Jackson County,Arkansas,https://livingwage.mit.edu/counties/05067,Minimum Wage
0,$13.47,$28.01,$33.96,$42.36,$22.73,$27.59,$31.29,$32.76,$11.37,$15.43,$18.90,$21.27,Jefferson County,Arkansas,https://livingwage.mit.edu/counties/05069,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Jefferson County,Arkansas,https://livingwage.mit.edu/counties/05069,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Jefferson County,Arkansas,https://livingwage.mit.edu/counties/05069,Minimum Wage
0,$13.00,$27.65,$33.76,$42.30,$22.34,$27.07,$30.77,$32.22,$11.17,$15.25,$18.80,$21.24,Johnson County,Arkansas,https://livingwage.mit.edu/counties/05071,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Johnson County,Arkansas,https://livingwage.mit.edu/counties/05071,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Johnson County,Arkansas,https://livingwage.mit.edu/counties/05071,Minimum Wage
0,$13.04,$26.45,$31.45,$39.09,$22.55,$26.99,$30.68,$32.35,$11.27,$14.65,$17.65,$19.63,Lafayette County,Arkansas,https://livingwage.mit.edu/counties/05073,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lafayette County,Arkansas,https://livingwage.mit.edu/counties/05073,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Lafayette County,Arkansas,https://livingwage.mit.edu/counties/05073,Minimum Wage
0,$13.04,$27.04,$32.62,$40.86,$22.32,$26.99,$30.68,$32.35,$11.16,$14.94,$18.23,$20.52,Lawrence County,Arkansas,https://livingwage.mit.edu/counties/05075,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lawrence County,Arkansas,https://livingwage.mit.edu/counties/05075,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Lawrence County,Arkansas,https://livingwage.mit.edu/counties/05075,Minimum Wage
0,$13.04,$28.91,$36.38,$47.02,$22.30,$26.99,$30.68,$32.89,$11.15,$15.88,$20.11,$23.60,Lee County,Arkansas,https://livingwage.mit.edu/counties/05077,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lee County,Arkansas,https://livingwage.mit.edu/counties/05077,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Lee County,Arkansas,https://livingwage.mit.edu/counties/05077,Minimum Wage
0,$13.47,$27.49,$32.93,$40.81,$22.73,$27.59,$31.29,$32.76,$11.37,$15.17,$18.39,$20.49,Lincoln County,Arkansas,https://livingwage.mit.edu/counties/05079,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lincoln County,Arkansas,https://livingwage.mit.edu/counties/05079,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Lincoln County,Arkansas,https://livingwage.mit.edu/counties/05079,Minimum Wage
0,$13.15,$26.69,$31.92,$40.22,$22.27,$26.99,$30.68,$32.76,$11.14,$14.77,$17.88,$20.20,Little River County,Arkansas,https://livingwage.mit.edu/counties/05081,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Little River County,Arkansas,https://livingwage.mit.edu/counties/05081,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Little River County,Arkansas,https://livingwage.mit.edu/counties/05081,Minimum Wage
0,$13.04,$26.85,$32.24,$39.96,$22.61,$26.99,$30.68,$32.03,$11.31,$14.84,$18.04,$20.07,Logan County,Arkansas,https://livingwage.mit.edu/counties/05083,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Logan County,Arkansas,https://livingwage.mit.edu/counties/05083,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Logan County,Arkansas,https://livingwage.mit.edu/counties/05083,Minimum Wage
0,$14.34,$29.47,$36.21,$46.14,$23.80,$28.26,$31.95,$34.15,$11.90,$16.16,$20.03,$23.16,Lonoke County,Arkansas,https://livingwage.mit.edu/counties/05085,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Lonoke County,Arkansas,https://livingwage.mit.edu/counties/05085,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Lonoke County,Arkansas,https://livingwage.mit.edu/counties/05085,Minimum Wage
0,$13.94,$29.73,$36.71,$47.34,$23.38,$28.28,$31.97,$34.64,$11.69,$16.29,$20.28,$23.76,Madison County,Arkansas,https://livingwage.mit.edu/counties/05087,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Madison County,Arkansas,https://livingwage.mit.edu/counties/05087,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Madison County,Arkansas,https://livingwage.mit.edu/counties/05087,Minimum Wage
0,$12.77,$26.77,$32.08,$39.68,$22.45,$26.99,$30.68,$31.98,$11.23,$14.80,$17.96,$19.93,Marion County,Arkansas,https://livingwage.mit.edu/counties/05089,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Marion County,Arkansas,https://livingwage.mit.edu/counties/05089,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Marion County,Arkansas,https://livingwage.mit.edu/counties/05089,Minimum Wage
0,$14.14,$28.59,$34.54,$43.13,$23.34,$28.17,$31.86,$33.52,$11.67,$15.71,$19.19,$21.65,Miller County,Arkansas,https://livingwage.mit.edu/counties/05091,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Miller County,Arkansas,https://livingwage.mit.edu/counties/05091,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Miller County,Arkansas,https://livingwage.mit.edu/counties/05091,Minimum Wage
0,$12.76,$27.08,$32.59,$40.46,$22.36,$27.09,$30.79,$32.17,$11.18,$14.96,$18.22,$20.32,Mississippi County,Arkansas,https://livingwage.mit.edu/counties/05093,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Mississippi County,Arkansas,https://livingwage.mit.edu/counties/05093,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Mississippi County,Arkansas,https://livingwage.mit.edu/counties/05093,Minimum Wage
0,$13.04,$26.45,$31.45,$39.15,$22.47,$26.99,$30.68,$32.41,$11.23,$14.65,$17.65,$19.66,Monroe County,Arkansas,https://livingwage.mit.edu/counties/05095,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Monroe County,Arkansas,https://livingwage.mit.edu/counties/05095,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Monroe County,Arkansas,https://livingwage.mit.edu/counties/05095,Minimum Wage
0,$13.27,$26.93,$32.40,$40.66,$22.39,$26.99,$30.68,$32.49,$11.19,$14.88,$18.12,$20.42,Montgomery County,Arkansas,https://livingwage.mit.edu/counties/05097,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Montgomery County,Arkansas,https://livingwage.mit.edu/counties/05097,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Montgomery County,Arkansas,https://livingwage.mit.edu/counties/05097,Minimum Wage
0,$13.57,$27.59,$32.99,$40.84,$22.84,$27.73,$31.43,$32.91,$11.42,$15.22,$18.42,$20.51,Nevada County,Arkansas,https://livingwage.mit.edu/counties/05099,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Nevada County,Arkansas,https://livingwage.mit.edu/counties/05099,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Nevada County,Arkansas,https://livingwage.mit.edu/counties/05099,Minimum Wage
0,$13.04,$26.93,$32.40,$41.03,$22.27,$26.99,$30.68,$32.86,$11.14,$14.88,$18.12,$20.60,Newton County,Arkansas,https://livingwage.mit.edu/counties/05101,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Newton County,Arkansas,https://livingwage.mit.edu/counties/05101,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Newton County,Arkansas,https://livingwage.mit.edu/counties/05101,Minimum Wage
0,$13.61,$26.93,$32.41,$40.64,$22.73,$26.99,$30.68,$32.46,$11.37,$14.89,$18.13,$20.41,Ouachita County,Arkansas,https://livingwage.mit.edu/counties/05103,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Ouachita County,Arkansas,https://livingwage.mit.edu/counties/05103,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Ouachita County,Arkansas,https://livingwage.mit.edu/counties/05103,Minimum Wage
0,$14.34,$28.28,$33.83,$42.56,$23.80,$28.26,$31.95,$34.15,$11.90,$15.56,$18.84,$21.37,Perry County,Arkansas,https://livingwage.mit.edu/counties/05105,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Perry County,Arkansas,https://livingwage.mit.edu/counties/05105,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Perry County,Arkansas,https://livingwage.mit.edu/counties/05105,Minimum Wage
0,$12.85,$28.91,$36.38,$46.94,$22.27,$26.99,$30.68,$32.81,$11.14,$15.88,$20.11,$23.56,Phillips County,Arkansas,https://livingwage.mit.edu/counties/05107,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Phillips County,Arkansas,https://livingwage.mit.edu/counties/05107,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Phillips County,Arkansas,https://livingwage.mit.edu/counties/05107,Minimum Wage
0,$13.61,$26.69,$31.92,$39.72,$22.82,$26.99,$30.68,$32.27,$11.41,$14.77,$17.88,$19.95,Pike County,Arkansas,https://livingwage.mit.edu/counties/05109,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pike County,Arkansas,https://livingwage.mit.edu/counties/05109,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Pike County,Arkansas,https://livingwage.mit.edu/counties/05109,Minimum Wage
0,$13.15,$27.80,$34.15,$43.13,$22.27,$26.99,$30.68,$32.33,$11.14,$15.32,$19.00,$21.65,Poinsett County,Arkansas,https://livingwage.mit.edu/counties/05111,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Poinsett County,Arkansas,https://livingwage.mit.edu/counties/05111,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Poinsett County,Arkansas,https://livingwage.mit.edu/counties/05111,Minimum Wage
0,$12.74,$26.97,$32.48,$40.27,$22.40,$26.99,$30.68,$31.98,$11.20,$14.90,$18.16,$20.23,Polk County,Arkansas,https://livingwage.mit.edu/counties/05113,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Polk County,Arkansas,https://livingwage.mit.edu/counties/05113,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Polk County,Arkansas,https://livingwage.mit.edu/counties/05113,Minimum Wage
0,$13.19,$28.15,$34.66,$44.43,$22.42,$27.18,$30.87,$33.16,$11.21,$15.50,$19.25,$22.30,Pope County,Arkansas,https://livingwage.mit.edu/counties/05115,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pope County,Arkansas,https://livingwage.mit.edu/counties/05115,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Pope County,Arkansas,https://livingwage.mit.edu/counties/05115,Minimum Wage
0,$13.04,$26.93,$32.40,$40.15,$22.27,$26.99,$30.68,$31.98,$11.14,$14.88,$18.12,$20.17,Prairie County,Arkansas,https://livingwage.mit.edu/counties/05117,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Prairie County,Arkansas,https://livingwage.mit.edu/counties/05117,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Prairie County,Arkansas,https://livingwage.mit.edu/counties/05117,Minimum Wage
0,$14.34,$29.52,$36.31,$46.28,$23.80,$28.26,$31.95,$34.15,$11.90,$16.18,$20.08,$23.23,Pulaski County,Arkansas,https://livingwage.mit.edu/counties/05119,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Pulaski County,Arkansas,https://livingwage.mit.edu/counties/05119,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Pulaski County,Arkansas,https://livingwage.mit.edu/counties/05119,Minimum Wage
0,$13.04,$27.24,$33.04,$41.34,$22.27,$26.99,$30.68,$32.22,$11.14,$15.04,$18.44,$20.76,Randolph County,Arkansas,https://livingwage.mit.edu/counties/05121,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Randolph County,Arkansas,https://livingwage.mit.edu/counties/05121,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Randolph County,Arkansas,https://livingwage.mit.edu/counties/05121,Minimum Wage
0,$14.34,$29.39,$36.06,$45.90,$23.80,$28.26,$31.95,$34.15,$11.90,$16.12,$19.95,$23.04,Saline County,Arkansas,https://livingwage.mit.edu/counties/05125,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Saline County,Arkansas,https://livingwage.mit.edu/counties/05125,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Saline County,Arkansas,https://livingwage.mit.edu/counties/05125,Minimum Wage
0,$13.04,$26.73,$32.00,$39.56,$22.27,$26.99,$30.68,$31.98,$11.14,$14.78,$17.92,$19.87,Scott County,Arkansas,https://livingwage.mit.edu/counties/05127,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Scott County,Arkansas,https://livingwage.mit.edu/counties/05127,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Scott County,Arkansas,https://livingwage.mit.edu/counties/05127,Minimum Wage
0,$13.04,$26.53,$31.61,$39.68,$22.43,$26.99,$30.68,$32.70,$11.22,$14.69,$17.73,$19.93,Searcy County,Arkansas,https://livingwage.mit.edu/counties/05129,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Searcy County,Arkansas,https://livingwage.mit.edu/counties/05129,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Searcy County,Arkansas,https://livingwage.mit.edu/counties/05129,Minimum Wage
0,$13.32,$28.42,$34.97,$44.60,$22.58,$27.39,$31.09,$33.19,$11.29,$15.63,$19.41,$22.39,Sebastian County,Arkansas,https://livingwage.mit.edu/counties/05131,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sebastian County,Arkansas,https://livingwage.mit.edu/counties/05131,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Sebastian County,Arkansas,https://livingwage.mit.edu/counties/05131,Minimum Wage
0,$12.69,$27.01,$32.56,$40.39,$22.62,$26.99,$30.68,$31.98,$11.31,$14.92,$18.20,$20.29,Sevier County,Arkansas,https://livingwage.mit.edu/counties/05133,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sevier County,Arkansas,https://livingwage.mit.edu/counties/05133,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Sevier County,Arkansas,https://livingwage.mit.edu/counties/05133,Minimum Wage
0,$12.69,$27.40,$33.36,$41.96,$22.30,$26.99,$30.68,$32.35,$11.15,$15.12,$18.60,$21.07,Sharp County,Arkansas,https://livingwage.mit.edu/counties/05135,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Sharp County,Arkansas,https://livingwage.mit.edu/counties/05135,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Sharp County,Arkansas,https://livingwage.mit.edu/counties/05135,Minimum Wage
0,$12.79,$26.93,$32.40,$41.06,$22.27,$26.99,$30.68,$32.89,$11.14,$14.88,$18.12,$20.62,St. Francis County,Arkansas,https://livingwage.mit.edu/counties/05123,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,St. Francis County,Arkansas,https://livingwage.mit.edu/counties/05123,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,St. Francis County,Arkansas,https://livingwage.mit.edu/counties/05123,Minimum Wage
0,$13.05,$26.83,$32.18,$39.83,$22.29,$27.01,$30.70,$32.01,$11.15,$14.84,$18.02,$20.00,Stone County,Arkansas,https://livingwage.mit.edu/counties/05137,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Stone County,Arkansas,https://livingwage.mit.edu/counties/05137,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Stone County,Arkansas,https://livingwage.mit.edu/counties/05137,Minimum Wage
0,$13.62,$26.82,$32.18,$40.64,$22.83,$27.00,$30.70,$32.83,$11.42,$14.83,$18.01,$20.41,Union County,Arkansas,https://livingwage.mit.edu/counties/05139,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Union County,Arkansas,https://livingwage.mit.edu/counties/05139,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Union County,Arkansas,https://livingwage.mit.edu/counties/05139,Minimum Wage
0,$13.10,$26.86,$32.18,$39.79,$22.34,$27.08,$30.78,$32.10,$11.17,$14.85,$18.01,$19.99,Van Buren County,Arkansas,https://livingwage.mit.edu/counties/05141,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Van Buren County,Arkansas,https://livingwage.mit.edu/counties/05141,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Van Buren County,Arkansas,https://livingwage.mit.edu/counties/05141,Minimum Wage
0,$13.94,$31.48,$40.21,$52.59,$23.38,$28.28,$31.97,$34.64,$11.69,$17.16,$22.03,$26.38,Washington County,Arkansas,https://livingwage.mit.edu/counties/05143,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Washington County,Arkansas,https://livingwage.mit.edu/counties/05143,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Washington County,Arkansas,https://livingwage.mit.edu/counties/05143,Minimum Wage
0,$13.29,$27.44,$33.07,$41.78,$22.70,$27.34,$31.03,$33.14,$11.35,$15.14,$18.46,$20.98,White County,Arkansas,https://livingwage.mit.edu/counties/05145,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,White County,Arkansas,https://livingwage.mit.edu/counties/05145,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,White County,Arkansas,https://livingwage.mit.edu/counties/05145,Minimum Wage
0,$12.74,$26.93,$32.40,$40.15,$22.36,$26.99,$30.68,$31.98,$11.18,$14.88,$18.12,$20.17,Woodruff County,Arkansas,https://livingwage.mit.edu/counties/05147,Living Wage
1,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Woodruff County,Arkansas,https://livingwage.mit.edu/counties/05147,Poverty Wage
2,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,$10.00,Woodruff County,Arkansas,https://livingwage.mit.edu/counties/05147,Minimum Wage
0,$13.58,$27.23,$33.00,$41.40,$22.69,$26.99,$30.68,$32.33,$11.35,$15.04,$18.43,$20.79,Yell County,Arkansas,https://livingwage.mit.edu/counties/05149,Living Wage
